threshold,accuracy,recall,precision,f1,specificity,fp,fn
0.2,0.505006307158625,0.9490931832395247,0.23495897197708623,0.3766691486721271,0.42193678201258744,24707,407
0.21000000000000002,0.5183695994954273,0.9427141963727329,0.2391559574805648,0.3815236648949633,0.4389930043751901,23978,458
0.22000000000000003,0.5313584042888678,0.9380863039399625,0.24364888571242935,0.38682724295329707,0.4552771343674692,23282,495
0.23000000000000004,0.5438938820561338,0.9318323952470294,0.24795313852093456,0.3916826581845903,0.4713272969748017,22596,545
0.24000000000000005,0.5543401135288553,0.9265791119449656,0.25169883120413156,0.39586394848638684,0.4847102313937437,22024,587
0.25000000000000006,0.5660477767265847,0.9190744215134459,0.2558674002367853,0.4002941737259281,0.5000116983692473,21370,647
0.26000000000000006,0.578622674235257,0.9120700437773609,0.2607265446224256,0.40552790367878094,0.5162490348845371,20676,703
0.2700000000000001,0.5901923683380637,0.9044402751719824,0.2652701859936168,0.41022295342372495,0.5314101214290727,20028,764
0.2800000000000001,0.6007174392935982,0.8965603502188868,0.2694838151810218,0.4144071226224201,0.5453779743103812,19431,827
0.2900000000000001,0.6109271523178808,0.8884302689180738,0.2737081422681207,0.41848818712072117,0.5590182728527643,18848,892
0.3000000000000001,0.6208806370230211,0.8795497185741088,0.2779007271577616,0.4223550256764467,0.5724947942256849,18272,963
0.3100000000000001,0.6307552822453485,0.8712945590994371,0.282355802359045,0.42649849996938716,0.5857607449521537,17705,1029
0.3200000000000001,0.6400189214758751,0.8631644777986242,0.2866935316355781,0.4304247489552797,0.5982780000467934,17170,1094
0.3300000000000001,0.6487701040681173,0.8551594746716698,0.2909485510021703,0.4341779386549819,0.6101635432020777,16662,1158
0.34000000000000014,0.6576001261431725,0.8457786116322702,0.2952709488668617,0.4377265665458312,0.6224000374347816,16139,1233
0.35000000000000014,0.6666666666666666,0.8358974358974359,0.2999147332046852,0.44144263161371294,0.6350108794834,15600,1312
0.36000000000000015,0.6753192999053926,0.825891181988743,0.30451023796347537,0.44496108359446074,0.6471537867621253,15081,1392
0.37000000000000016,0.6830849889624724,0.815509693558474,0.308653664078773,0.44781757615302725,0.6583140310240753,14604,1475
0.38000000000000017,0.6914222642699464,0.8041275797373358,0.3133193625420342,0.45093638212807746,0.6703399546103274,14090,1566
0.3900000000000002,0.698616367076632,0.7939962476547843,0.3175270108043217,0.4536391896237539,0.6807748999789429,13644,1647
0.4000000000000002,0.7070719016083254,0.78411507191995,0.3230610667353775,0.4575912408759124,0.6926604431342271,13136,1726
0.4100000000000002,0.714739041311889,0.7731081926203878,0.32807855626326965,0.4606670393143283,0.703820687396177,12659,1814
0.4200000000000002,0.7227412488174078,0.7619762351469669,0.3336985100788782,0.46413469963049026,0.7154020729510306,12164,1903
0.4300000000000002,0.7299550614947966,0.7510944340212633,0.33895913298713026,0.46711524250320874,0.7260007954891088,11711,1990
0.4400000000000002,0.7365578681803847,0.7392120075046904,0.34378453842126694,0.469308345906456,0.73606139304181,11281,2085
0.45000000000000023,0.7432592242194891,0.7244527829893683,0.34860066205236234,0.4707029662738724,0.7467770992723615,10823,2203
0.46000000000000024,0.7491721854304636,0.7123202001250781,0.35326592643136284,0.4723005473544535,0.756065604454739,10426,2300
0.47000000000000025,0.7551836959949543,0.6965603502188868,0.3578129015677204,0.4727704911074324,0.7661495987459348,9995,2426
0.48000000000000026,0.7614908546199937,0.6838023764853033,0.3634973404255319,0.4746689819839375,0.7760230223906788,9573,2528
0.49000000000000027,0.768822926521602,0.6662914321450907,0.37023908812899636,0.4759862395568065,0.7880021524999415,9061,2668
0.5000000000000002,0.7747753074739829,0.6511569731081926,0.37604738514880093,0.4767617564906818,0.7978989728831801,8638,2789
0.5100000000000002,0.7807868180384737,0.6360225140712945,0.3824170865608784,0.47764418560961863,0.8078659834819026,8212,2910
0.5200000000000002,0.7865421002838221,0.6210131332082551,0.3889541715628672,0.47832369942196534,0.8175054397417,7800,3030
0.5300000000000002,0.7924353516240934,0.606253908692933,0.39632052330335243,0.47930778739184177,0.8272618796939707,7383,3148
0.5400000000000003,0.7980132450331126,0.5906191369606004,0.40369325468068734,0.47958561852528947,0.8368077489997894,6975,3273
0.5500000000000003,0.8022114474929044,0.5754846779237023,0.40926881337840243,0.4783490149191662,0.8446222596570038,6641,3394
0.5600000000000003,0.8068235572374646,0.5573483427141964,0.41574920694159356,0.47624645968043605,0.8534896235464776,6262,3539
0.5700000000000003,0.8111203090507726,0.5364602876797999,0.4218965178044462,0.4723308187875117,0.8624973678669193,5877,3706
0.5800000000000003,0.8150228634500157,0.5169480925578487,0.42802402651201327,0.4683020792023115,0.8707798132940268,5523,3862
0.5900000000000003,0.8181567328918322,0.499812382739212,0.4332646644258918,0.46416540829364616,0.8777052478884444,5227,3999
0.6000000000000003,0.8207781456953642,0.4818011257035647,0.4376278118609407,0.4586533309519557,0.8841861444514635,4950,4143
0.6100000000000003,0.8232812992746767,0.4646654158849281,0.44220926080228545,0.4531593071480849,0.8903628834140521,4686,4280
0.6200000000000003,0.8261786502680543,0.4472795497185741,0.4483450351053159,0.44781165863126915,0.8970543506235231,4400,4419
0.6300000000000003,0.8294307789340902,0.4293933708567855,0.4562126245847176,0.44239690721649483,0.9042605460798765,4092,4562
0.6400000000000003,0.8320324818669189,0.4113821138211382,0.46291344123856437,0.43562913907284767,0.910718045904401,3816,4706
0.6500000000000004,0.8345553453169348,0.3944965603502189,0.4702549575070821,0.4290572711195756,0.9168713881284949,3553,4841
0.6600000000000004,0.836959949542731,0.37398373983739835,0.4778647914335944,0.41959023294976144,0.9235628553379659,3267,5005
0.6700000000000004,0.8386155786818038,0.3527204502814259,0.4834561974969998,0.40786809372288113,0.929505626915608,3013,5175
0.6800000000000004,0.8412369914853358,0.32958098811757347,0.49437148217636023,0.39549718574108816,0.9369457897569079,2695,5360
0.6900000000000004,0.8432671081677704,0.3093183239524703,0.5043850703650826,0.38347030547371685,0.9431459254579911,2430,5522
0.7000000000000004,0.844272311573636,0.2876797998749218,0.5104305370616955,0.3679705623550116,0.9483867948807936,2206,5695
0.7100000000000004,0.8456322926521602,0.2622889305816135,0.520218308112131,0.34874438716115086,0.9547507077513394,1934,5898
0.7200000000000004,0.8464798170923998,0.24527829893683553,0.5277179763186222,0.33489881308171804,0.9589387239418825,1755,6034
0.7300000000000004,0.8467951750236519,0.22276422764227644,0.5332335329341318,0.3142479047198941,0.9635244846868346,1559,6214
0.7400000000000004,0.8476624093345948,0.19349593495934958,0.5470297029702971,0.2858726785549293,0.9700287779883484,1281,6448
0.7500000000000004,0.847682119205298,0.17410881801125705,0.5530393325387366,0.2648401826484018,0.9736786691935144,1125,6603
0.7600000000000005,0.8476624093345948,0.15834896810506566,0.558693733451015,0.24675957509014715,0.9766032615053462,1000,6729
0.7700000000000005,0.847445600756859,0.14146341463414633,0.5635276532137519,0.22615476904619075,0.9795044570786833,876,6864
0.7800000000000005,0.847839798170924,0.12995622263914947,0.5762617859123683,0.21208409879567258,0.9821248917900844,764,6956
0.7900000000000005,0.8479383475244402,0.11844903064415259,0.5867410161090458,0.1971068789676345,0.9843943754240659,667,7048
0.8000000000000005,0.8478003784295175,0.10531582238899312,0.5967399007795889,0.17903465872847119,0.9866872557965419,569,7153
